epoch,train_loss,val_loss,train_iou,val_iou,train_acc,val_acc,lr,sec
1,0.7800902027264237,0.5566750122382578,0.4430344527354464,0.5584532564720222,0.9663235700502991,0.9805938381009397,0.0002,589.7482964992523
2,0.5475464286282659,0.5287928028971748,0.5221678446419538,0.5638574961012444,0.9793388946354389,0.9808766092874307,0.0002,494.70078444480896
3,0.5294498397782444,0.5135980582870213,0.5431513356231153,0.5861579690359335,0.9802292727679014,0.9814115179323517,0.0002,494.5169506072998
4,0.5174122662469745,0.49873799201661506,0.5605867344886064,0.6040798306465149,0.9807741059362889,0.9825216356631928,0.0002,495.023478269577
5,0.510304672382772,0.4963778072753839,0.568405308239162,0.5801374099950874,0.9811551932990551,0.9820897565478772,0.0002,495.0279378890991
6,0.5053195628896355,0.49334815487397454,0.5771783848106861,0.5881184146467563,0.9813570073992014,0.982493573163463,0.0002,495.21125841140747
7,0.500875489488244,0.4925827299071624,0.5852649842202663,0.5989101590308468,0.9815598466247321,0.9826061090536877,0.0002,494.9021077156067
8,0.49706662327051165,0.49020835345825264,0.5897989973425866,0.601154112815857,0.9818140373378992,0.9830091518638409,0.0002,494.96294116973877
9,0.4931642720475793,0.4914399717233877,0.5975280474871397,0.6028456301815742,0.9819780714064836,0.9832798588592394,0.0002,494.9598467350006
10,0.4900825446844101,0.48977686388302694,0.5961352277174592,0.6096562949957046,0.9820987902581692,0.9820063717597354,0.0002,495.2180383205414
11,0.4868796210736036,0.48651766835060795,0.6049940364062786,0.6148135856189559,0.9822852582484484,0.9817782307093122,0.0002,494.79506254196167
12,0.48533363096416,0.48402627179052976,0.6071228819340467,0.613610054961348,0.982313510030508,0.982566765979328,0.0002,495.3677043914795
13,0.48307278282940386,0.4805606699622838,0.6029063479602337,0.6131322231967892,0.982449999973178,0.983199571402727,0.0002,495.13858127593994
14,0.4813442266359925,0.4816160328620303,0.6088611543923617,0.6153088908279891,0.9825639800727367,0.9824320384886412,0.0002,495.13657665252686
15,0.47964462138712405,0.4781472303171073,0.6113183700665832,0.6138801267716737,0.9826337976753712,0.9835787293130318,0.0002,495.2741377353668
16,0.4769497781991959,0.48198949910898126,0.603133954666555,0.5935441794648635,0.9827008585631848,0.9819269189792397,0.0002,495.2215266227722
17,0.47626062877476216,0.4751636087366965,0.611839937157929,0.6135629978855099,0.9827637299895287,0.9832049953199066,0.0002,495.4616630077362
18,0.4736495841667056,0.4796245936271364,0.6147890434414148,0.6184786468480541,0.982901680842042,0.9825755788161691,0.0002,494.95145630836487
19,0.4716207949444652,0.4779633264626022,0.6198616123944521,0.6166370978397606,0.9829368320852518,0.983169866241185,0.0002,494.2824740409851
20,0.47134507540613413,0.48248923109695974,0.6172404586523771,0.6113401256831347,0.9830651895701885,0.9825193212095615,0.0002,493.87421774864197
21,0.4714412150159478,0.4767277662205485,0.6139556204900145,0.6124321683318215,0.9830770888179541,0.983414218067068,0.0001,494.1918818950653
22,0.46327520240098236,0.47542507495500347,0.6266294731199742,0.621883316166633,0.9834771439433098,0.9828582561121578,0.0001,493.89191603660583
23,0.4595522639900446,0.47091236430986794,0.6338992628455162,0.6279239536386676,0.9836769919097423,0.9833906843598965,0.0001,494.1432192325592
24,0.4592157334089279,0.4727549353532032,0.6314266754686833,0.6271486455360346,0.9837332921475173,0.9831953793500376,0.0001,494.0610246658325
25,0.45843068696558475,0.47347281765093846,0.625912765711546,0.612631269893815,0.9837558344006538,0.9835107802289778,0.0001,494.0071280002594
26,0.4563122993707657,0.4708295677615478,0.63074309296906,0.6284319659249973,0.9838667821139098,0.9832320774550987,0.0001,493.8785891532898
27,0.4547385847941041,0.47183595653128835,0.6376688320562244,0.628106764460032,0.9839391962438822,0.9835685858684303,0.0001,494.08253741264343
28,0.4548414459079504,0.4748738135911722,0.6406572082266212,0.6260158662247447,0.9839965210109949,0.9835322350527334,0.0001,493.89964628219604
29,0.45356781646609307,0.4711278144764689,0.6425183649547398,0.627372752987178,0.9840930266678334,0.9836934888257389,0.0001,494.0844967365265
30,0.4508631892129779,0.47119275626883045,0.645048285201192,0.6250202827749,0.9841910870373249,0.983549725798379,5e-05,493.80404901504517
31,0.4490400064736605,0.4697794069231084,0.6465169486403465,0.6304778814315796,0.9843388541787863,0.9835273254234179,5e-05,493.94812536239624
32,0.44772433914244175,0.46971072691731747,0.6433117433637381,0.6256618311974854,0.9844544877111912,0.9834427433731282,5e-05,494.075945854187
33,0.4463518510758877,0.46849480935957577,0.6427979622781277,0.6273734225636035,0.9844554673135281,0.9836199904965088,5e-05,493.9141631126404
34,0.4452505626529455,0.4680567366886983,0.6447450226917862,0.6306843929586158,0.9845234297215939,0.9834489158824482,5e-05,494.0791857242584
35,0.4445232508517802,0.4700734782007943,0.6488482066988945,0.6296671889524544,0.9846040677279234,0.9833421039370309,5e-05,493.81723952293396
36,0.4436158945038915,0.4681015171308433,0.6443269477412105,0.6204888732032439,0.9846442834287882,0.9835769665979706,5e-05,494.00250124931335
37,0.44266013661399484,0.46834308178023953,0.6468330167606473,0.63061180304637,0.9846926838159561,0.9834110343350774,5e-05,493.89450311660767
38,0.44168007247149943,0.4681938018946521,0.6508984873816371,0.6311175109010883,0.9847409021854401,0.9832373378551111,2.5e-05,494.01976466178894
39,0.44031874142587185,0.4680087561100985,0.651270574554801,0.6303652790795385,0.984819985255599,0.983552461071352,2.5e-05,493.8650965690613
40,0.4389356917887926,0.46827025139226325,0.6540254821255803,0.6304093668946122,0.9849015519022941,0.9836562723185109,2.5e-05,494.12104773521423
