epoch,train_loss,val_loss,train_iou,val_iou,train_acc,val_acc,lr,sec
1,0.7347149555757642,0.5661874920920988,0.42102714721113443,0.5229401039866219,0.9672324765473604,0.9802545709947569,0.0002,604.1496963500977
2,0.5634257143363357,0.5410311705243271,0.5198168389871717,0.557895196222626,0.9783707992732524,0.9790008957407116,0.0002,523.8090963363647
3,0.5441304265707732,0.5246560807249188,0.5355324955284595,0.5793291706954483,0.9793094026297331,0.9807862153095481,0.0002,523.2194411754608
4,0.5331393481045962,0.5154203700280823,0.5507723369449377,0.586759790382554,0.979972290918231,0.9815438327536119,0.0002,523.522463798523
5,0.5242211639881134,0.5124188619377339,0.5670002475380898,0.5912481120202394,0.9804560171812773,0.9819346943787769,0.0002,523.2654962539673
6,0.5176960372552276,0.5059134258633167,0.5672610872238875,0.601028534163416,0.9807652712613344,0.9820882846823836,0.0002,523.272709608078
7,0.5133372599631548,0.5067314644302942,0.5797896356880665,0.5980594561163303,0.9811070473492145,0.9810683782121776,0.0002,523.3837037086487
8,0.5090712127834558,0.5051089169704809,0.576200951077044,0.5995954313109406,0.981289890781045,0.9826427129517614,0.0002,523.2834007740021
9,0.5046541059017181,0.5031598713018198,0.5843932098895311,0.5983542857971866,0.9815341906249523,0.9825916165799167,0.0002,523.5773005485535
10,0.5008484484627843,0.501536964789956,0.5934453069418669,0.5938600061214075,0.9817495303601027,0.9813971288436282,0.0002,523.2928960323334
11,0.49732419397681954,0.4978344640900603,0.5972338031977416,0.605159440821251,0.9819615269452333,0.9816568204786925,0.0002,523.5098948478699
12,0.4944832118228078,0.499167709223992,0.5996013828739524,0.6101640229731534,0.9819731239974498,0.981318724049931,0.0002,523.2967042922974
13,0.4920855467393994,0.49392044180262407,0.5959075468033552,0.6133919610386401,0.982132239639759,0.9826729510737732,0.0002,523.432149887085
14,0.48917109597474334,0.49008536101442524,0.6007722493261098,0.6133709821025882,0.9823289146274328,0.9827203937336407,0.0002,523.2896633148193
15,0.48676264826208354,0.49832325150481366,0.6101238609105348,0.6089238316611906,0.982506188377738,0.9814144791755001,0.0002,522.9161977767944
16,0.48507311068475245,0.49148873850307634,0.6006390943750739,0.6042764290244178,0.9825204025954009,0.9829385673050332,0.0002,523.0983130931854
17,0.4804623808711767,0.48908424947114115,0.6167665456607938,0.6101633479109908,0.9828313640505075,0.9830774668043694,0.0002,522.9724972248077
18,0.48044696636497974,0.48841871529553843,0.6162326511740684,0.6118352895289396,0.9828416839241981,0.9829506806567707,0.0002,523.2675952911377
19,0.47765533465892074,0.48645413438830754,0.6168497056141495,0.6164608457447154,0.9829866103082895,0.9830293895923986,0.0002,523.0023765563965
20,0.4753631794825196,0.49199552567659227,0.6231257829070092,0.6165454533247821,0.9830991151928902,0.9830085079226873,0.0002,523.2008633613586
21,0.47563593443483115,0.49113135285082116,0.6205578222125768,0.6150552684226922,0.9830343959480524,0.98291171419937,0.0002,523.13325548172
22,0.47295777484774587,0.48865439179724296,0.6224808843433857,0.6123395907140411,0.9832120101898909,0.9827795212247731,0.0002,523.2903230190277
23,0.47013291496783494,0.4836070706886528,0.6257280147820711,0.619204616124651,0.9833407074213028,0.9831623229305301,0.0002,522.9634971618652
24,0.46857768956571816,0.4842304154834916,0.6305987975373865,0.6201080587057941,0.9834703726321459,0.9828219758725799,0.0002,522.936386346817
25,0.46643888104707004,0.48823094800510236,0.6289197193458677,0.6172952951583187,0.9835794272273779,0.9824277803961154,0.0002,523.2001466751099
26,0.4702482921257615,0.4882460371582909,0.6236686142534018,0.6157974886683236,0.9833692188560963,0.9827886876806748,0.0002,523.00919008255
27,0.4650903839990497,0.4840802051852235,0.6280644550174475,0.6222453473943524,0.983650249093771,0.9830441782959795,0.0001,523.1495952606201
28,0.4584109564498067,0.48314515753129944,0.6369553205370903,0.6222679100205413,0.9840573225915432,0.9835417328682621,0.0001,522.9918134212494
29,0.455604235753417,0.4807862515470623,0.6436216181144119,0.6217318401927442,0.9842027055472136,0.9830537034346994,0.0001,523.1616742610931
30,0.45375901985913514,0.4807812097853264,0.6452154486253857,0.6214622915318582,0.9843619440495968,0.983091691848451,0.0001,522.8771870136261
31,0.45270343974232674,0.4809000060621616,0.6445397893711925,0.624776179389616,0.9844490303844213,0.9831415268172206,0.0001,523.1669356822968
32,0.45043998505920174,0.4857193942618581,0.6472147473320365,0.6215800491054501,0.984498078674078,0.9837430611120916,0.0001,522.9235711097717
33,0.4513606946542859,0.48152256760977014,0.6465119870752096,0.6246337698624197,0.9845412985980511,0.983173995840866,5e-05,523.18416929245
34,0.44659915670752526,0.4817586263196658,0.6503282752633095,0.6252793857481628,0.9847806249558926,0.983215836824569,5e-05,522.860258102417
35,0.4447874219715595,0.48135605850050933,0.6539287602156401,0.6246530731167413,0.9848520928621292,0.9833477235473362,5e-05,522.9259519577026
36,0.4448011397942901,0.4802226193710766,0.6540042181313038,0.6250396543899469,0.9849139924347401,0.9832495177741599,5e-05,523.1749005317688
37,0.4432981067895889,0.48248535268074644,0.655202901661396,0.6257367611986346,0.9849396533519029,0.9833088790420937,5e-05,522.8665578365326
38,0.4435076056793332,0.4777595937252045,0.6559492729231715,0.6265218831796562,0.9849908509850502,0.9833475358718264,5e-05,523.1630620956421
39,0.4429090576991439,0.481322470122734,0.6549813268333673,0.6271793485742755,0.9850159958004951,0.9834110839177022,5e-05,522.9063067436218
40,0.4417816772125661,0.4826827605741214,0.6576071764528751,0.6259544717527069,0.9850484538078308,0.9835896276794703,5e-05,523.1503269672394
