epoch,train_loss,train_iou,train_pixel_acc,val_loss,val_iou,val_pixel_acc,train_bce,train_dice,train_edge,val_bce,val_dice,val_edge,lr
1,0.7369618714971935,0.4176500594561987,0.9580304003535733,0.5030329708062428,0.4774495648666167,0.9777416645641058,0.1463022559611464,0.5765396747993917,0.07059969727215026,0.0713417205277463,0.42522214332097014,0.03234552845201442,0.0002
2,0.5030129189125161,0.4718842103835498,0.976926267221477,0.4752592904047227,0.4922572456195321,0.977870977260697,0.07381385417373737,0.42256705621059765,0.03316004983569203,0.06939734599854745,0.3995404365197034,0.031607551146036306,0.0002
3,0.486643392048525,0.4807774538590518,0.977799005276255,0.4644007598850089,0.49859565601382455,0.9788950769834115,0.0707735727528359,0.4094731824823682,0.03198318626875809,0.0675515686752091,0.39084979052275,0.029997007199891016,0.0002
4,0.47751906395107324,0.4867118112975441,0.9782650433527248,0.4610963619091141,0.5026703155796293,0.9780679722906838,0.06863893312256732,0.4026005200381285,0.03139805277058397,0.06692568997157292,0.38785309313048777,0.03158789306459293,0.0002
5,0.47200552228089426,0.49045369988970094,0.9786243045077044,0.4547282186612277,0.5064838593694526,0.9791239319552838,0.0670205182401689,0.3987759950753306,0.031045041301667912,0.06385326142829488,0.38485653467581304,0.030092102455788514,0.0002
6,0.46791782930549164,0.493216485826859,0.978860066401378,0.4526440998618032,0.5084028495869166,0.9790230338842096,0.0659210965614045,0.3958429756682464,0.03076879016952717,0.06515190377831459,0.3814882514342456,0.03001972557452153,0.0002
7,0.46250681860021287,0.49739007024878124,0.979138136654162,0.45140859673560507,0.509874163798883,0.9791454156519661,0.06473292342006937,0.39167546154407973,0.0304921723206931,0.06511808678665211,0.38026656231410066,0.03011974990761406,0.0002
8,0.4603797220781948,0.4990853795435247,0.9792631213435817,0.4481956962968262,0.5133625287824953,0.9790811202895473,0.06419734331719884,0.3901115894764104,0.030353945557879153,0.0663481715830489,0.37588035052930807,0.02983586764960012,0.0002
9,0.45668006501394265,0.5020476429724365,0.9794641137123108,0.4444797393721594,0.5159926460662358,0.9797788900388799,0.06328744700087813,0.38737612843662317,0.03008244958905022,0.0611520922860839,0.3774894799145175,0.029190839038715815,0.0002
10,0.4535690197411846,0.5046022647291831,0.979715215504988,0.44342103558526913,0.5202272253137239,0.9784828802229653,0.06233214893925949,0.38527083955007546,0.029830158281183048,0.06784177791904396,0.3694347239715952,0.030722663632895744,0.0002
11,0.4507346860552846,0.5071271111381783,0.9798020005374961,0.4374680298734719,0.5215449639609162,0.9800876240495225,0.06205495823867684,0.3827488914262341,0.029654181383308324,0.061076322898373635,0.3707088148090201,0.028414457137893204,0.0002
12,0.4479019299577387,0.5095256967714217,0.9798882131868236,0.43600891110762746,0.52414948692624,0.9800352953689199,0.061607322921876456,0.3803814802128129,0.029565631261981383,0.06349752881419911,0.366816584912824,0.028473985991375128,0.0002
13,0.44542028272196593,0.5112789941116814,0.9801127700769946,0.4364731177477769,0.5238148456727955,0.9797506978814031,0.06075918267524049,0.3787919788176052,0.029345608230322114,0.0643774741526011,0.3663326552216436,0.028814948426270987,0.0002
